OPE ID,School,academic_year,State,Zip Code,School Type,dl_sub_rec,dl_sub_#loans_disbursed,dl_sub_$loans_disbursed,dl_unsub_underg_rec,dl_unsub_underg#loans_disbursed,dl_unsub_underg$loans_disbursed,dl_unsub_grad_rec,dl_unsub_grad#loans_disbursed,dl_unsub_grad$loans_disbursed,dl_parentplus_rec,dl_parentplus#loans_disbursed,dl_parentplus$loans_disbursed,dl_gradplus_rec,dl_gradplus#loans_disbursed,dl_gradplus$loans_disbursed
718700,NORTH ADRIAN'S COLLEGE OF BEAUTY,2020-2021,CA,953502381,Proprietary,95,173,270578,88,143,350043,-,-, -,13,23,128900,-,-, -
719100,NORTHAMPTON COUNTY AREA COMMUNITY COLLEGE,2020-2021,PA,180207599,Public,2162,3903,6423970,2515,4595,9562015,-,-, -,104,194,783126,-,-, -
720300,SALON SUCCESS ACADEMY,2020-2021,CA,917864060,Proprietary,218,424,620584,242,514,835359,-,-, -,18,36,63498,-,-, -
720400,MODERN BEAUTY ACADEMY,2020-2021,CA,930307016,Proprietary,25,44,69737,24,42,22740,-,-, -,-,-, -,-,-, -
720600,UNIVERSITY OF PUERTO RICO - CAYEY,2020-2021,PR,007369997,Public,65,93,290342,1,2,500,-,-, -,-,-, -,-,-, -
720900,REDONDO BEACH BEAUTY COLLEGE,2020-2021,CA,902783111,Proprietary,1,2,2260,1,2,3936,-,-, -,-,-, -,-,-, -
722800,UNIVERSITY OF PUERTO RICO - ARECIBO,2020-2021,PR,006144010,Public,59,116,249350,-,-, -,-,-, -,-,-, -,-,-, -
725300,FEDERICO BEAUTY INSTITUTE,2020-2021,CA,958341905,Proprietary,217,435,615980,233,478,705685,-,-, -,11,21,55070,-,-, -
726300,HOLY CROSS COLLEGE,2020-2021,IN,465560308,Private-Nonprofit,196,365,805978,188,353,514048,-,-, -,39,68,558172,-,-, -
726500,CARL SANDBURG COLLEGE,2020-2021,IL,614019576,Public,88,182,232004,30,63,78552,-,-, -,14,26,69821,-,-, -
726600,PIMA COUNTY COMMUNITY COLLEGE,2020-2021,AZ,857095000,Public,1808,5318,4832961,892,2789,2853028,-,-, -,8,20,37600,-,-, -
727300,CUNY BERNARD M. BARUCH COLLEGE,2020-2021,NY,100105518,Public,1026,2222,4369053,906,1921,4125675,1199,2613,17410109,71,155,1145729,87,207,1746888
727500,EASTERN GATEWAY COMMUNITY COLLEGE,2020-2021,OH,439523598,Public,714,1581,1295080,421,975,885428,-,-, -,5,13,13758,-,-, -
727900,HAWAII PACIFIC UNIVERSITY,2020-2021,HI,968134920,Private-Nonprofit,858,1497,3359709,871,1525,3041335,177,317,3178909,200,375,4854245,56,105,1253970
728300,CENTRAL ARIZONA COLLEGE,2020-2021,AZ,851289779,Public,153,435,444607,200,624,662134,-,-, -,2,4,6406,-,-, -
728700,BRAZOSPORT COLLEGE,2020-2021,TX,775663199,Public,30,58,99912,27,52,83287,-,-, -,-,-, -,-,-, -
728900,CENTRAL WYOMING COLLEGE,2020-2021,WY,825012215,Public,149,323,454634,152,308,631903,-,-, -,2,2,11253,-,-, -
729100,ST. LUKE'S COLLEGE,2020-2021,IA,511040263,Private-Nonprofit,134,266,487954,131,261,592444,-,-, -,13,27,198490,-,-, -
729700,SPARTAN COLLEGE OF AERONAUTICS AND TECHNOLOGY,2020-2021,CO,800209988,Proprietary,182,699,956001,195,727,1147327,-,-, -,29,123,421502,-,-, -
730300,LINCOLN TECHNICAL INSTITUTE,2020-2021,CT,060512904,Proprietary,4618,9761,14400875,4769,11908,19142924,-,-, -,845,1953,8305090,-,-, -
730400,CULINARY INSTITUTE OF AMERICA,2020-2021,NY,125381499,Private-Nonprofit,1543,2889,5984492,1651,3185,5610553,56,125,1054876,461,873,10361279,2,4,70600
730500,PORTER AND CHESTER INSTITUTE OF HAMDEN,2020-2021,CT,065144132,Proprietary,326,836,920878,331,826,1370678,-,-, -,59,153,487799,-,-, -
